#{"t_start": 1701292000.2056463, "env_id": null}
r,l,t
-10.96,12,16.771946
-10.66,10,16.806945
-10.76,11,16.873776
-10.04,5,16.906344
-11.91,13,16.987859
-11.59,10,17.024859
-10.42,8,17.053386
-9.83,6,17.075394
-9.74,5,17.095393
-9.29,8,17.123395
-10.8,12,17.166918
-9.37,9,17.199917
-10.49,9,17.231917
-10.85,12,17.276433
-11.6,10,17.316432
-10.62,10,17.36358
-11.58,10,17.399579
-11.91,13,17.446585
-10.04,5,17.481096
-11.91,13,17.527148
-10.69,11,17.566841
-10.73,11,17.604644
-9.84,6,17.627763
-10.98,13,17.67228
-11.15,6,17.71128
-11.02,13,17.759825
-10.97,13,17.809822
-11.97,13,17.865377
-10.38,8,17.898376
-9.37,9,17.934376
-11.05,5,17.955899
-10.59,9,17.993901
-11.04,5,18.017901
-10.36,11,18.073423
-11.01,13,18.130421
-11.01,13,18.182943
-10.98,13,18.240995
-11.96,13,22.133005
-10.95,4,22.147563
-10.92,12,22.185088
-9.84,13,22.258604
-11.9,12,22.296603
-10.97,13,22.338603
-11.17,6,22.359124
-11.27,7,22.383124
-11.07,13,22.424124
-10.99,13,22.465641
-11.63,10,22.52564
-11.02,13,22.601689
-10.73,11,22.661602
-10.05,8,22.688003
-11.25,7,22.730002
-11.51,9,22.760073
-11.45,9,22.791073
-10.24,6,22.811074
-9.9,14,22.856078
-10.85,11,22.891595
-9.74,5,22.923158
-11.36,8,22.950022
-10.9,11,22.98553
-11.13,6,23.023077
-10.6,10,23.07959
-10.72,11,23.12759
-10.33,7,23.170103
-10.96,12,23.241104
-9.49,10,23.274623
-10.3,7,23.298623
-10.74,11,23.335635
-10.15,9,23.366149
-10.61,10,23.399142
-10.83,12,23.473656
-11.15,6,23.511654
-11.84,12,23.556168
-11.92,13,23.599348
-11.46,9,23.651494
-11.0,13,23.710615
-10.81,12,23.781693
-10.34,11,23.819693
-11.04,13,23.862208
-10.92,12,23.933331
-10.93,13,24.006684
-11.41,8,24.04769
-10.51,9,24.0782
-11.09,13,24.121201
-9.05,6,24.142199
-10.88,12,24.181719
-9.26,8,24.209718
-9.8,12,24.248723
-10.41,8,24.276231
-10.96,12,24.31523
-10.98,13,24.358754
-9.99,7,24.382753
-9.27,8,24.410762
-10.92,12,24.450758
-10.72,11,24.489283
-9.8,12,24.528286
-11.36,8,24.555291
-10.7,5,24.5728
-9.26,8,24.598803
-10.94,12,24.657521
-9.29,8,24.684235
-10.98,13,24.726063
-10.97,12,24.765578
-9.93,7,24.79058
-10.89,12,24.829128
-10.98,13,24.871643
-10.61,10,24.904642
-11.95,13,24.945198
-10.93,12,25.008491
-9.85,13,25.050056
-10.78,11,25.086578
-9.85,13,25.128567
-11.47,9,25.158078
-11.47,9,25.211088
-10.93,12,25.249091
-9.87,13,25.290601
-9.38,9,25.321601
-10.53,9,25.351608
-10.64,10,25.384121
-10.48,12,25.42312
-11.95,13,25.464632
-10.9,11,25.499634
-10.52,9,25.529633
-11.58,10,25.56215
-10.95,4,25.576151
-11.48,9,25.606148
-10.81,11,25.64215
-11.37,8,25.668668
-10.87,12,25.707102
-11.07,13,25.750016
-11.38,8,25.776525
-9.64,11,25.813087
-10.43,9,25.844092
-11.93,13,25.889606
-10.26,10,25.925604
-11.48,9,25.961504
-9.8,12,26.003096
-10.97,13,26.046103
-9.8,5,26.078616
-9.85,13,26.121613
-11.95,13,26.163132
-11.72,11,26.20013
-10.97,12,26.238142
-10.97,12,26.276645
-10.72,11,26.312646
-11.97,13,26.354649
-10.9,11,26.42116
-11.47,9,26.450166
-10.89,12,26.490674
-10.95,13,26.532673
-10.67,10,26.565191
-10.66,10,26.597193
-10.43,8,26.624192
