#{"t_start": 1701293151.535119, "env_id": null}
r,l,t
-19.36,10,3.245094
-18.7,10,3.278094
-15.51,7,3.30131
-22.0,11,3.336417
-14.3,6,3.374159
-22.88,13,3.415232
-17.05,8,3.441231
-18.92,10,3.47623
-20.79,11,3.509745
-17.05,8,3.535746
-15.18,7,3.557745
-19.69,10,3.588744
-11.66,4,3.602751
-18.7,10,3.633822
-20.79,11,3.66782
-17.05,8,3.693186
-19.36,10,3.724696
-16.17,8,3.75058
-20.13,11,3.78315
-17.16,8,3.809667
-17.93,9,3.837666
-17.16,8,3.862668
-16.94,8,3.890676
-11.66,4,3.904675
-22.33,12,3.942194
-23.1,13,4.001199
-22.0,11,4.034708
-11.66,4,4.048707
-15.95,7,4.078707
-22.55,12,4.120236
-12.76,5,4.156112
-15.18,7,4.185684
-22.77,13,4.2322
-17.27,8,4.2572
-22.0,11,4.292231
-19.25,10,4.323022
-11.66,4,4.337313
-16.72,8,4.362919
-17.71,9,4.390829
-14.08,6,4.409371
-16.94,8,4.460371
-12.76,5,4.476372
-19.58,10,4.505902
-13.09,5,4.520899
-18.81,9,4.546903
-16.61,8,4.570898
-11.66,4,4.597907
-17.49,9,4.624416
-22.0,11,4.685136
-19.36,10,4.719791
-12.98,5,4.737368
-17.05,8,4.761367
-15.73,7,4.782741
-18.48,10,4.81226
-16.61,8,4.83626
-12.98,5,4.851807
-18.04,9,4.877807
-19.14,10,4.908099
-22.0,11,4.939098
-16.61,8,4.962099
-14.19,6,4.981099
-15.73,7,5.003106
-23.32,13,5.039617
-22.22,12,5.073617
-20.35,11,5.105126
-20.79,11,5.137133
-11.66,4,5.149679
-12.76,5,5.182678
-22.77,13,5.256485
-15.29,7,5.277484
-12.98,5,5.293489
-22.99,13,5.330539
-17.38,8,5.353537
-11.66,4,5.367663
-23.21,13,5.403669
-15.4,7,5.423726
-21.78,12,5.458726
-16.28,8,5.482727
-21.67,12,5.516242
-22.0,12,5.589242
-19.25,10,5.650758
-18.04,9,5.704308
-16.5,8,5.760557
-22.22,12,5.800158
-17.93,9,5.829225
-12.76,5,5.845226
-18.15,9,5.877226
-15.29,7,5.926756
-20.24,11,5.963754
-17.6,9,5.99276
-20.68,12,6.048292
-16.94,8,6.086272
-15.73,8,6.111791
-15.4,7,6.141797
-16.61,8,6.16679
-15.4,7,6.188391
-13.09,5,6.203973
-17.05,8,6.228483
-15.29,7,6.249483
-21.34,12,6.283482
-16.83,8,6.306996
-13.75,5,6.321997
-13.97,6,6.340773
-14.08,6,6.358774
-22.99,13,6.423836
-15.29,7,6.452851
-23.98,13,6.504843
-17.71,9,6.566355
-15.4,7,6.588355
-15.18,7,6.609875
-16.83,8,6.635877
-13.09,5,6.653879
-21.01,11,6.686877
-17.05,9,6.714924
-21.01,11,6.758474
-15.4,7,6.781047
-17.93,9,6.841652
-15.62,7,6.864226
-21.34,12,6.901228
-12.98,5,6.91774
-17.71,9,6.94574
-22.0,11,6.979738
-15.29,7,7.004744
-19.58,10,7.03926
-14.52,6,7.061265
-23.32,13,7.105264
-14.3,6,7.125779
-16.61,7,7.148778
-16.83,8,7.174779
