#{"t_start": 1701189706.7659142, "env_id": null}
r,l,t
-8.6,13,12.559801
-7.7,13,12.608372
-8.0,6,12.63137
-8.0,16,12.68992
-8.7,14,12.742071
-8.8,14,12.793078
-9.8,8,12.824111
-8.0,7,12.850111
-9.8,9,12.885127
-8.7,15,12.940157
-9.8,5,12.960156
-9.5,12,13.004674
-9.8,14,13.057674
-8.0,16,13.116189
-8.5,14,13.166188
-8.5,16,13.222723
-9.8,14,13.276705
-8.0,9,13.312222
-7.7,13,13.361219
-9.8,13,13.410065
-6.0,15,13.456064
-9.8,8,13.47429
-8.7,12,13.519083
-7.5,17,13.555632
-9.8,12,13.599866
-8.7,16,13.634466
-8.8,8,13.653466
-8.5,16,13.687482
-9.8,14,13.738981
-8.8,15,13.792985
-8.0,7,13.82101
-9.5,8,13.85201
-8.7,15,13.887029
-8.0,7,13.904047
-9.8,13,13.934047
-9.8,11,13.959047
-8.8,14,13.989052
-8.8,13,14.017088
-7.8,15,14.050085
-9.6,9,14.071087
-8.7,7,14.088091
-8.0,12,14.114605
-7.0,15,14.148614
-7.0,9,14.169606
-9.8,10,14.192613
-6.8,14,14.222123
-8.0,12,14.249134
-8.0,14,14.280125
-6.7,14,14.311493
-8.7,11,14.335492
-8.8,17,14.372492
-9.8,14,14.403551
-8.8,9,14.423552
-8.0,16,14.458088
-7.8,15,14.514084
-9.8,13,14.562268
-9.8,7,14.590281
-8.7,18,14.656325
-8.8,17,14.718387
-9.5,10,14.75539
-9.8,13,14.802904
-8.7,8,14.832905
-8.8,13,14.879904
-9.8,15,14.934419
-8.0,13,14.983419
-8.8,21,15.060937
-9.8,12,15.106453
-9.8,13,15.134453
-8.8,15,15.167463
-8.0,10,15.189457
-8.8,9,15.21061
-8.0,11,15.234611
-7.8,12,15.26061
-8.5,15,15.292618
-8.0,16,15.328131
-8.7,16,15.362138
-9.8,12,15.389135
-8.8,13,15.417969
-9.8,11,15.458566
-8.8,8,15.477567
-8.8,16,15.511719
-8.0,11,15.536887
-8.0,15,15.569454
1.0,11,15.594457
-9.8,8,15.612966
-9.8,8,15.642711
-7.0,15,15.696623
-8.5,13,15.744129
-8.0,17,15.781129
-8.0,13,15.808644
-8.0,14,15.839644
-9.8,6,15.854644
-9.6,12,15.881642
-8.0,12,15.907153
-8.0,8,15.927158
-9.8,5,15.940159
-9.8,11,15.964168
-9.5,5,15.985164
-9.5,15,16.038464
-8.8,13,16.071449
-9.8,18,16.108967
-7.8,16,16.144966
-8.8,15,16.176966
-6.0,16,16.210479
-8.8,13,16.249481
-9.8,10,16.27248
-9.6,11,16.297486
-9.5,12,16.323742
-9.8,10,16.346741
-8.7,14,16.376741
-8.0,14,16.40626
-8.7,5,16.419275
-9.5,6,16.433817
-8.8,16,16.467817
-8.7,5,16.479954
-9.8,7,16.507022
-9.8,11,16.54913
-9.8,10,16.571135
-9.8,9,16.592169
-9.8,6,16.616236
4.0,13,16.644809
-7.7,15,16.7759
-8.8,13,16.823416
1.4,11,16.863415
-9.8,14,16.913929
-5.7,16,16.97293
-7.0,15,17.027445
-8.0,13,17.055444
-8.8,15,17.087458
-9.8,6,17.101767
-7.8,11,17.12577
-6.0,15,17.158767
-9.6,13,17.186788
-7.7,13,17.21529
-8.0,22,17.262281
-7.8,10,17.284282
-8.0,10,17.306454
-8.0,14,17.337453
-7.8,16,17.372453
-8.0,16,17.428971
-8.0,12,17.473698
-8.8,12,17.517461
-9.8,6,17.540461
-8.0,15,17.573229
-8.8,15,17.605308
-8.7,15,17.638297
-9.5,15,17.670296
-8.7,7,17.687445
-8.7,6,17.701543
-9.8,11,17.726166
-8.0,16,17.761165
-7.0,14,17.79117
-7.0,17,17.827682
-8.0,19,17.868681
-9.5,14,17.898687
-7.0,16,17.934205
-9.8,13,17.964197
-8.8,14,17.995201
-8.7,12,18.039715
-8.8,18,18.106229
-7.8,14,18.156228
-8.0,18,18.221303
-8.0,13,18.270304
-9.8,9,18.303818
-8.5,7,18.329818
-8.7,14,18.380819
2.0,11,18.421332
-7.0,13,18.468915
-8.8,12,18.512357
