#{"t_start": 1701292413.9755702, "env_id": null}
r,l,t
-11.87,12,3.129512
-11.27,6,3.149513
-11.76,10,3.181525
-11.47,8,3.225032
-11.77,11,3.258115
-11.79,11,3.290122
-11.39,7,3.310636
-11.49,8,3.334635
-12.09,13,3.370634
-12.06,12,3.405152
-11.36,7,3.426152
-11.47,8,3.451154
-11.16,5,3.470153
-11.57,9,3.508117
-11.48,8,3.535665
-12.09,13,3.578142
-11.58,9,3.625211
-11.71,10,3.659211
-11.9,12,3.70175
-12.15,13,3.74675
-11.47,8,3.778532
-11.57,9,3.812611
-11.26,6,3.833611
-11.5,8,3.862609
-11.33,7,3.887275
-11.58,9,3.915784
-12.08,13,3.955359
-12.04,13,3.99287
-11.49,8,4.016871
-11.39,7,4.039872
-11.47,8,4.092387
-11.68,10,4.124395
-11.48,8,4.152395
-11.83,11,4.188403
-11.06,4,4.203953
-11.26,6,4.2259
-11.73,10,4.255899
-11.59,9,4.282902
-12.03,13,4.366412
-11.46,8,4.419889
-11.94,12,4.497971
-11.58,9,4.547151
-11.49,8,4.571723
-11.49,8,4.595802
-11.47,8,4.619802
-11.55,9,4.646801
-11.35,7,4.668802
-11.7,10,4.69832
-11.88,11,4.73132
-12.07,13,4.770903
-11.61,9,4.79782
-11.96,12,4.834819
-11.95,12,4.870395
-11.25,6,4.911455
-11.62,9,4.938454
-12.04,13,4.977583
-12.05,13,5.016096
-11.6,9,5.075636
-12.03,12,5.110148
-11.95,12,5.145148
-11.72,10,5.17415
-11.68,10,5.203666
-12.01,13,5.240663
-11.27,6,5.281668
-11.39,7,5.303178
-12.0,11,5.334178
-11.59,9,5.361178
-11.67,10,5.392695
-11.25,6,5.411704
-11.25,6,5.432702
-11.68,10,5.464702
-11.9,12,5.534805
-11.85,12,5.590599
-11.88,12,5.644695
-11.82,11,5.681702
-11.17,5,5.699214
-11.49,8,5.72521
-12.09,13,5.764208
-11.48,8,5.790328
-12.09,13,5.834408
-11.6,9,5.863408
-11.17,5,5.880413
-11.66,10,5.909923
-12.05,12,5.945126
-11.48,8,5.971714
-11.85,11,6.004229
-12.01,13,6.043227
-11.81,11,6.077257
-12.13,13,6.115782
-11.63,9,6.144783
-11.35,7,6.191789
-11.36,7,6.213302
-12.08,13,6.251302
-11.17,5,6.267301
-11.39,7,6.288307
-11.51,8,6.312818
-11.66,9,6.339818
-11.75,10,6.368823
-11.88,11,6.439332
-11.14,5,6.461332
-11.59,9,6.489338
-12.04,13,6.5566
-11.76,11,6.590366
-11.49,8,6.61588
-11.84,11,6.650447
-11.94,12,6.701439
-11.37,7,6.724438
-11.82,10,6.756444
-11.23,5,6.773439
-11.56,9,6.803536
-11.06,4,6.817408
-11.26,6,6.839409
-11.53,9,6.869413
-11.14,5,6.885991
-11.53,8,6.912505
-11.95,12,6.951094
-11.43,7,6.995613
-11.14,5,7.030611
-11.51,8,7.084181
-11.69,10,7.117723
-11.56,9,7.149693
-11.06,4,7.164691
-11.17,5,7.183701
-11.91,12,7.23721
-11.46,8,7.262712
-11.86,11,7.297185
-11.63,9,7.326185
-11.37,7,7.349193
-12.01,12,7.386189
-12.11,13,7.426701
-11.06,4,7.441701
-11.96,12,7.483704
-12.0,11,7.520217
-11.79,11,7.560907
-11.52,8,7.588495
-12.01,12,7.65328
-12.02,12,7.717797
-11.75,11,7.752797
-11.34,7,7.775797
-12.04,13,7.816209
-11.97,13,7.880815
-11.67,9,7.935316
-11.22,6,7.955313
-11.26,6,7.992138
-11.3,6,8.013215
-12.04,13,8.054214
-12.0,11,8.090222
-11.36,7,8.113729
-12.0,13,8.15573
-11.72,10,8.187739
-11.53,8,8.21325
-11.96,12,8.252249
-12.05,13,8.307763
-11.17,5,8.332766
-12.03,12,12.062941
-12.0,12,12.13401
-12.05,12,12.202526
-12.08,13,12.279525
-11.16,5,12.312048
-11.27,6,12.348049
-12.11,13,12.389055
-11.73,10,12.445563
-12.04,13,12.486579
-11.37,7,12.510721
-12.05,13,12.555723
-12.0,13,12.634544
-12.09,13,12.676627
-11.57,9,12.706499
-12.11,13,12.748056
-11.43,7,12.772056
-11.44,7,12.796566
-12.11,13,12.846575
-12.08,13,12.892243
-11.86,11,12.930716
-11.83,11,12.995288
-11.87,11,13.033805
-11.93,12,13.102869
-11.48,8,13.136533
-12.04,12,13.188098
-11.54,9,13.220609
-12.04,13,13.26561
-11.36,7,13.292617
-11.71,10,13.330125
-11.48,8,13.366125
-11.47,8,13.395134
-11.59,9,13.426648
-12.07,12,13.489653
-12.13,13,13.532164
-12.01,13,13.574165
-11.92,12,13.612679
-12.14,13,13.655266
-12.0,11,13.695154
-12.06,13,13.73868
-12.02,13,13.781687
-12.07,13,13.824205
-12.09,13,13.867204
-11.65,9,13.895941
-11.3,6,13.917016
-12.09,13,13.972016
-11.15,5,13.993031
-12.07,13,14.038538
-11.4,7,14.065538
-11.6,9,14.098952
-11.85,11,14.156545
-12.08,13,14.210073
-12.08,13,14.282076
-11.26,6,14.303595
-11.53,8,14.370905
-11.49,8,14.410432
-11.26,6,14.432433
-11.69,10,14.46843
-11.69,10,14.50495
-12.08,13,14.549949
-12.06,13,14.611479
-11.71,10,14.647475
-11.83,11,14.688129
-11.17,5,14.70775
-12.04,12,14.748016
-12.13,13,14.814096
-11.67,10,14.871097
-12.0,13,14.935767
-11.55,9,14.988315
-12.14,13,15.047824
-11.48,8,15.076824
-11.34,7,15.102954
-11.76,11,15.142952
-11.3,6,15.173788
-12.0,11,15.212303
-11.42,8,15.239866
-12.04,12,15.281865
-11.65,10,15.340384
-12.08,13,15.393389
-11.69,10,15.436907
-11.87,12,15.480906
-12.0,12,15.520422
-12.04,13,15.565422
-12.02,12,15.621936
-11.25,6,15.651937
-11.06,4,15.671524
-11.72,10,15.70509
-12.0,11,15.74116
-12.04,13,15.818239
-11.06,4,15.84324
-11.69,10,15.876239
-11.15,5,15.894594
-11.76,10,15.928665
-11.93,12,15.967665
-12.05,12,16.008181
-11.84,11,16.045181
-11.25,6,16.066181
-11.76,10,16.099695
-11.6,9,16.131829
-12.05,13,16.175379
-12.0,11,16.240896
-11.46,8,16.268897
-11.76,10,16.302412
-11.72,10,16.335412
-12.09,13,16.378412
-11.91,12,16.417926
-11.6,9,16.448925
-11.96,13,16.491929
-11.65,9,16.522439
-11.34,7,16.547439
-12.09,13,16.589447
-11.45,8,16.616955
-11.47,8,16.642954
-12.04,12,16.706819
-11.15,5,16.738377
-12.18,13,16.781621
-11.15,5,16.813649
-11.86,11,16.853213
-11.48,8,16.901725
-11.06,4,16.926265
-11.7,10,16.973503
-12.04,13,17.029626
-11.43,8,17.082626
-11.56,8,17.136727
-11.38,7,17.180726
-11.48,8,17.207947
-11.74,10,17.241523
-12.09,13,17.324038
-11.95,12,17.368038
-11.8,11,17.404551
-11.68,10,17.438555
-12.0,11,17.474557
-12.01,13,17.51707
-11.25,6,17.539072
-11.93,12,17.582075
-11.72,10,17.619604
-11.48,8,17.648606
-11.82,11,17.68561
-11.78,11,17.721683
-11.57,9,17.753663
-11.51,8,17.78067
-11.72,10,17.813345
-11.89,12,17.883345
-11.73,10,21.531164
-11.94,12,21.569164
-11.68,10,21.601167
-12.07,13,21.642682
-11.47,8,21.668687
-11.56,9,21.698807
-11.43,7,21.722333
-11.99,12,21.760334
-12.0,11,21.79689
-11.57,9,21.826752
-12.01,12,21.864289
-11.74,10,21.896297
-11.14,5,21.931811
-11.39,7,21.973811
-11.86,11,22.00911
-12.07,13,22.049674
-11.59,8,22.075683
-11.46,8,22.101682
-11.79,11,22.16119
-12.02,13,22.236705
-11.39,7,22.260797
-11.47,8,22.287351
-12.01,12,22.32487
-11.6,9,22.355868
-11.14,5,22.374868
-11.15,5,22.394876
-11.88,11,22.473389
-11.33,6,22.496397
-12.0,11,22.537907
-11.72,10,22.584911
-12.0,11,22.626094
-12.0,12,22.670093
-12.03,13,22.716623
-12.09,13,22.761625
-11.57,9,22.795564
-11.96,12,22.841229
-12.06,12,22.886595
-11.87,11,22.951695
-11.76,11,22.993708
-12.08,13,23.043522
-11.62,9,23.076528
-12.07,13,23.12662
-11.59,9,23.163618
-11.46,8,23.194624
-11.55,9,23.228146
-12.0,11,23.293752
-11.46,8,23.321264
-11.48,8,23.349261
-11.74,10,23.383817
-11.95,12,23.423332
-11.36,7,23.44933
-11.99,13,23.493338
-12.06,12,23.532846
-11.67,10,23.566853
-12.15,13,23.634363
-11.17,5,23.666361
-11.79,11,23.731876
-11.86,11,23.793458
-11.9,12,23.85665
-11.38,7,23.899801
-12.08,13,23.977313
-11.98,12,24.040725
-11.36,7,24.063355
-11.36,7,24.106868
-11.27,6,24.148867
-12.01,12,24.22038
-12.0,11,24.258382
-12.07,13,24.324239
-11.47,8,24.351239
-11.85,11,24.387239
-12.09,13,24.459767
-11.67,10,24.498761
-12.03,13,24.547271
-12.07,13,24.594279
-12.09,13,24.641793
-12.08,13,24.697798
-11.99,12,24.739303
-12.15,13,24.786303
-12.02,12,24.829556
-12.02,12,24.871704
-11.59,9,24.925637
-11.91,12,24.991191
-11.39,7,25.038265
-11.16,5,25.058265
-12.0,11,25.095731
-12.07,13,25.141791
-11.83,11,25.179792
-11.49,8,25.211309
-12.05,13,25.27931
-11.22,5,25.297314
-12.01,13,25.342374
-11.7,10,25.378465
-12.04,13,25.46153
-12.05,12,25.526048
-11.06,4,25.552047
-11.63,9,25.591055
-11.48,8,25.636568
-11.94,12,25.710082
-12.07,13,25.777083
-11.72,10,25.834152
-11.65,9,25.864846
-12.07,13,25.908657
-12.05,12,25.97376
-11.94,12,26.015275
-11.55,9,26.055084
-11.25,6,26.106748
-12.04,12,26.149732
-11.81,11,26.192745
-11.15,5,26.212253
-12.0,11,26.249254
-12.0,12,26.33466
-11.56,9,26.366251
-12.01,12,26.412763
-11.99,12,26.455763
-12.0,11,26.492769
-12.0,12,26.532281
-12.12,13,26.576278
-12.02,13,26.619794
-12.0,12,26.660801
-11.26,6,26.698799
-11.96,12,26.741212
-11.16,5,26.760213
-11.98,12,26.83999
-11.16,5,26.858993
-12.02,12,26.925144
-11.56,8,26.955139
-11.85,11,26.991969
-11.61,9,27.023495
-12.02,13,27.068056
-11.15,5,27.099139
-11.94,12,27.14223
-11.79,11,27.18323
-11.16,5,27.203243
-11.99,12,27.261758
-11.87,11,27.30377
-11.33,7,27.331278
-11.48,8,27.36084
-12.04,13,27.407063
-12.02,12,27.448059
-12.0,12,27.48963
-12.13,13,27.534146
-12.06,12,31.232743
-11.88,11,31.268304
-11.25,6,31.30531
-12.02,13,31.34782
-12.04,13,31.389821
-11.4,7,31.413342
-11.47,8,31.439342
-11.43,7,31.482342
-12.04,13,31.547425
-12.08,14,31.593095
-11.49,8,31.619621
-12.14,13,31.662189
-11.06,4,31.678189
-11.25,6,31.700194
-12.0,12,31.740707
-11.95,12,31.778705
-11.45,8,31.80571
-11.45,7,31.829223
-12.08,13,31.870223
-12.0,13,31.913324
-12.04,12,31.953007
-12.12,13,31.994627
-12.01,12,32.033138
-11.35,7,32.056405
-11.06,4,32.070421
-12.0,11,32.106426
-11.49,8,32.134936
-12.0,11,32.169453
-11.47,8,32.196446
-11.86,11,32.232572
-12.01,12,32.271138
-11.99,12,32.309926
-12.1,13,32.351505
-11.22,5,32.369503
-11.89,11,32.405507
-12.07,13,32.447015
-11.81,11,32.484016
-11.9,12,32.525858
-11.59,9,32.554865
-12.0,11,32.590428
-11.5,8,32.617943
-12.03,13,32.659943
-11.43,8,32.709463
-12.07,13,32.78947
-12.07,13,32.868985
-12.04,13,32.911644
-11.62,9,32.942641
-12.03,12,32.982185
-11.17,5,33.0147
-11.75,10,33.071701
-12.09,13,33.115275
-12.08,13,33.160695
-11.27,6,33.181695
-11.06,4,33.196702
-11.79,10,33.229771
-12.04,13,33.271773
-11.71,10,33.327481
-12.15,13,33.369057
-12.09,13,33.410575
-11.35,7,33.434575
-11.8,11,33.474574
-11.53,8,33.5121
-11.49,8,33.538686
-11.83,11,33.574694
-11.3,6,33.595713
-12.24,14,33.644644
-11.36,7,33.673216
-11.52,8,33.705227
-12.05,13,33.771739
-11.85,11,33.813258
-11.69,9,33.845258
-11.48,8,33.873258
-12.07,13,33.918363
-11.45,8,33.946373
-11.84,11,33.984504
-12.0,11,34.021611
-12.09,13,34.065611
-11.06,4,34.081607
-12.06,13,34.12512
-11.95,12,34.168765
-12.05,12,34.208779
-11.17,5,34.226289
-11.37,7,34.251291
-12.02,13,34.294292
-11.55,9,34.324276
-11.56,9,34.377817
-12.06,13,34.453334
-11.94,12,34.519853
-11.06,4,34.534853
-11.26,6,34.555853
-11.36,7,34.580601
-11.37,7,34.604607
-12.05,12,34.644675
-12.09,13,34.687675
-12.12,13,34.764191
-11.61,9,34.820706
-11.49,8,34.869716
-12.04,13,34.941936
-11.7,10,34.975485
-12.01,12,35.01599
-11.91,11,35.05299
-12.05,13,35.095994
-11.69,10,35.130035
-12.0,12,35.169596
-12.1,14,35.215111
-12.06,13,35.256693
-11.14,5,35.274691
-11.4,8,35.302698
-11.72,10,35.335765
-11.51,8,35.362769
-12.13,13,35.40653
-12.07,13,35.447604
-11.26,6,35.468604
-11.77,11,35.50361
-12.06,13,35.54712
-12.15,14,35.591778
-11.26,6,35.618292
-12.07,13,35.660527
-12.03,13,35.703104
-12.05,13,35.746613
-12.0,13,35.789611
-11.5,8,35.84113
-11.17,5,35.873131
-11.36,7,35.917645
-11.92,12,35.956242
-12.0,11,35.992142
-11.47,7,36.038237
-12.1,13,36.080248
-11.83,11,36.116755
-11.7,10,36.17454
-12.0,12,36.237614
-11.36,7,36.279614
-12.0,11,36.348919
-12.0,12,36.388493
-11.96,12,36.427011
-12.12,13,36.469009
-11.45,8,36.518524
-11.76,11,36.582527
-12.09,13,36.625266
-12.01,13,36.691831
-12.08,13,40.465418
-11.46,8,40.494415
-11.85,11,40.56293
-11.79,11,40.601937
-12.01,12,40.640452
-11.56,9,40.672451
-11.31,7,40.714814
-11.27,6,40.737984
-12.01,12,40.77897
-11.8,11,40.823486
-11.14,5,40.843486
-11.15,5,40.862484
-11.48,8,40.891488
-11.62,9,40.924015
-11.52,8,40.952015
-11.83,11,40.990015
