#{"t_start": 1701302866.6907127, "env_id": null}
r,l,t
0.5,6,24.089843
-10.3,17,24.122843
0.7,6,24.134851
2.5,4,24.144361
-7.4,17,24.176919
-3.6,11,24.198475
1.7,5,24.210035
-8.3,15,24.23913
-2.8,12,24.26313
-5.7,14,24.289897
-2.4,14,24.317895
0.0,9,24.336467
0.7,6,24.348979
-4.3,11,24.370979
-3.8,13,24.396978
-4.9,17,24.428982
1.5,5,24.440218
-0.5,7,24.455222
-3.6,11,24.495218
1.7,5,24.506218
-1.0,10,24.526232
-2.8,12,24.550743
-0.5,7,24.577736
1.7,5,24.589734
-0.5,7,24.604735
-1.6,9,24.622735
-6.3,13,24.649264
-2.9,11,24.671265
2.5,4,24.680251
-1.3,8,24.71025
-9.3,16,24.7413
-6.9,15,24.771136
0.7,6,24.78415
-2.6,10,24.804254
-1.3,8,24.834272
-0.5,7,24.849795
-2.5,9,24.868802
-3.3,10,24.889797
-11.5,18,24.95048
-5.6,13,24.9772
0.5,6,24.9912
-6.6,14,25.041227
-0.3,7,25.057225
-9.5,16,25.089227
-7.2,17,25.123225
0.5,6,25.137229
0.1,8,25.154757
-1.8,9,25.187757
2.5,4,25.197879
-0.3,7,25.226144
1.5,5,25.238149
1.2,6,25.261215
-1.3,8,25.278773
2.5,4,25.287788
0.5,6,25.301775
-0.5,7,25.317773
-1.4,11,25.341309
-3.4,13,25.367309
-4.3,11,25.390308
-1.3,8,25.407307
-3.3,10,25.431318
-9.0,22,25.474844
1.7,5,25.485852
-2.5,9,25.505855
-5.3,12,25.530853
-5.3,12,25.555381
-2.3,9,25.57538
-6.3,13,25.602386
-2.5,9,25.62138
-6.6,14,25.649914
-0.5,7,25.665914
-1.3,8,25.682914
-1.3,8,25.700914
-6.3,13,25.727924
0.5,6,25.74445
-0.3,7,25.759453
-2.3,9,25.778447
1.9,6,25.792562
-1.5,8,25.810558
-3.3,10,25.830562
-8.3,15,25.861074
2.5,4,25.870074
-0.3,7,25.88608
-3.8,11,25.908073
-7.8,17,25.94259
-2.2,10,25.964156
-4.3,11,25.986157
-7.0,16,26.041435
-7.3,14,26.101355
-2.3,9,26.12106
0.5,6,26.135077
0.2,7,26.150586
-0.3,7,26.165587
0.5,6,26.179585
-3.3,10,26.200153
1.1,7,26.216153
-3.8,15,26.246439
-4.3,11,26.26894
-7.3,14,26.297478
-1.3,12,26.322266
-5.3,12,26.34678
-0.3,7,26.362351
-1.5,8,26.380357
-4.3,11,26.403357
-3.3,10,26.424362
-0.8,8,26.441872
1.7,5,26.453875
-0.3,7,26.469874
0.5,6,26.486874
0.7,6,26.499875
-6.3,13,27.897225
-1.3,8,27.927237
-0.5,7,27.942746
0.5,6,27.954746
2.5,4,27.970747
-0.5,7,27.986747
1.7,5,27.997343
-1.2,9,28.015344
1.5,5,28.034348
-1.3,8,28.050856
2.5,4,28.060855
1.7,5,28.071672
